anchor_id,arm,block_id,category,method_id,n,raw_distance,reason_codes,score,status,stratum_id,view,context_condition,label
A/X,full,stratum-01-block-01,same_account_same_community,cosine_distance_v1,4,0.18741230583680157,[],0.18741230583680157,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-01,different_account_same_community,cosine_distance_v1,4,0.2623205530359797,[],0.2623205530359797,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-01,same_account_different_community,cosine_distance_v1,4,0.18784172079813077,[],0.18784172079813077,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-01,different_account_different_community,cosine_distance_v1,4,0.20597851273743717,[],0.20597851273743717,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-01,same_account_same_community,cosine_distance_v1,4,0.18098172931054746,[],0.18098172931054746,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-01,different_account_same_community,cosine_distance_v1,4,0.22008210497114644,[],0.22008210497114644,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-01,same_account_different_community,cosine_distance_v1,4,0.18018421583235456,[],0.18018421583235456,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-01,different_account_different_community,cosine_distance_v1,4,0.22526014647937853,[],0.22526014647937853,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-01,same_account_same_community,cosine_distance_v1,4,0.24425325533741782,[],0.24425325533741782,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-01,different_account_same_community,cosine_distance_v1,4,0.22172285025242,[],0.22172285025242,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-01,same_account_different_community,cosine_distance_v1,4,0.20825545065718998,[],0.20825545065718998,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-01,different_account_different_community,cosine_distance_v1,4,0.24170710431883202,[],0.24170710431883202,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-01,same_account_same_community,cosine_distance_v1,4,0.1472809082088229,[],0.1472809082088229,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-01,different_account_same_community,cosine_distance_v1,4,0.1708237398893645,[],0.1708237398893645,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-01,same_account_different_community,cosine_distance_v1,4,0.16309397969516892,[],0.16309397969516892,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-01,different_account_different_community,cosine_distance_v1,4,0.17706244894158718,[],0.17706244894158718,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-02,same_account_same_community,cosine_distance_v1,4,0.19027202172948698,[],0.19027202172948698,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-02,different_account_same_community,cosine_distance_v1,4,0.15966107431784293,[],0.15966107431784293,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-02,same_account_different_community,cosine_distance_v1,4,0.17149668337160584,[],0.17149668337160584,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-02,different_account_different_community,cosine_distance_v1,4,0.1575950529006489,[],0.1575950529006489,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-02,same_account_same_community,cosine_distance_v1,4,0.1535434487156403,[],0.1535434487156403,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-02,different_account_same_community,cosine_distance_v1,4,0.21431348496995128,[],0.21431348496995128,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-02,same_account_different_community,cosine_distance_v1,4,0.1609052246905489,[],0.1609052246905489,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-02,different_account_different_community,cosine_distance_v1,4,0.18809622123628167,[],0.18809622123628167,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-02,same_account_same_community,cosine_distance_v1,4,0.14916540842126846,[],0.14916540842126846,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-02,different_account_same_community,cosine_distance_v1,4,0.1866719718985006,[],0.1866719718985006,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-02,same_account_different_community,cosine_distance_v1,4,0.15124875526156978,[],0.15124875526156978,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-02,different_account_different_community,cosine_distance_v1,4,0.19314194112797523,[],0.19314194112797523,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-02,same_account_same_community,cosine_distance_v1,4,0.1704643060660399,[],0.1704643060660399,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-02,different_account_same_community,cosine_distance_v1,4,0.18482324256960325,[],0.18482324256960325,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-02,same_account_different_community,cosine_distance_v1,4,0.16434632874145494,[],0.16434632874145494,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-02,different_account_different_community,cosine_distance_v1,4,0.1903453317962408,[],0.1903453317962408,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-03,same_account_same_community,cosine_distance_v1,4,0.14425855338191562,[],0.14425855338191562,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-03,different_account_same_community,cosine_distance_v1,4,0.1843085959033668,[],0.1843085959033668,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-03,same_account_different_community,cosine_distance_v1,4,0.14282311850837526,[],0.14282311850837526,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-03,different_account_different_community,cosine_distance_v1,4,0.1757702370137546,[],0.1757702370137546,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-03,same_account_same_community,cosine_distance_v1,4,0.15137627981859958,[],0.15137627981859958,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-03,different_account_same_community,cosine_distance_v1,4,0.1842045797464602,[],0.1842045797464602,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-03,same_account_different_community,cosine_distance_v1,4,0.15760285899780369,[],0.15760285899780369,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-03,different_account_different_community,cosine_distance_v1,4,0.20374114274748423,[],0.20374114274748423,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-03,same_account_same_community,cosine_distance_v1,4,0.14343656092927692,[],0.14343656092927692,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-03,different_account_same_community,cosine_distance_v1,4,0.18862227922745356,[],0.18862227922745356,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-03,same_account_different_community,cosine_distance_v1,4,0.14133543584544273,[],0.14133543584544273,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-03,different_account_different_community,cosine_distance_v1,4,0.1760659523126631,[],0.1760659523126631,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-03,same_account_same_community,cosine_distance_v1,4,0.13926898570652835,[],0.13926898570652835,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-03,different_account_same_community,cosine_distance_v1,4,0.19833348320165534,[],0.19833348320165534,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-03,same_account_different_community,cosine_distance_v1,4,0.14521255299197267,[],0.14521255299197267,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-03,different_account_different_community,cosine_distance_v1,4,0.18951077181556564,[],0.18951077181556564,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-04,same_account_same_community,cosine_distance_v1,4,0.15575499907812984,[],0.15575499907812984,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-04,different_account_same_community,cosine_distance_v1,4,0.20814902044902117,[],0.20814902044902117,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-04,same_account_different_community,cosine_distance_v1,4,0.1567025937459775,[],0.1567025937459775,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-04,different_account_different_community,cosine_distance_v1,4,0.18504102363915909,[],0.18504102363915909,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-04,same_account_same_community,cosine_distance_v1,4,0.18142474795015406,[],0.18142474795015406,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-04,different_account_same_community,cosine_distance_v1,4,0.25286556370185,[],0.25286556370185,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-04,same_account_different_community,cosine_distance_v1,4,0.16856891454395795,[],0.16856891454395795,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-04,different_account_different_community,cosine_distance_v1,4,0.27224060372284276,[],0.27224060372284276,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-04,same_account_same_community,cosine_distance_v1,4,0.18908186269128657,[],0.18908186269128657,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-04,different_account_same_community,cosine_distance_v1,4,0.19541693353281586,[],0.19541693353281586,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-04,same_account_different_community,cosine_distance_v1,4,0.1883587629357415,[],0.1883587629357415,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-04,different_account_different_community,cosine_distance_v1,4,0.1887035464011767,[],0.1887035464011767,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-04,same_account_same_community,cosine_distance_v1,4,0.20618456615326108,[],0.20618456615326108,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-04,different_account_same_community,cosine_distance_v1,4,0.17664461096154693,[],0.17664461096154693,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-04,same_account_different_community,cosine_distance_v1,4,0.21122592306574361,[],0.21122592306574361,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-04,different_account_different_community,cosine_distance_v1,4,0.17671260724747506,[],0.17671260724747506,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-05,same_account_same_community,cosine_distance_v1,4,0.13072509676590705,[],0.13072509676590705,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-05,different_account_same_community,cosine_distance_v1,4,0.1811460951775885,[],0.1811460951775885,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-05,same_account_different_community,cosine_distance_v1,4,0.1557620417623632,[],0.1557620417623632,ok,stratum-01,retained_prose,cross_community,same_author
