method_id,view,n,arm,primary_cross_equal_stratum_macro,paired_context_change_equal_stratum_macro
cosine_distance_v1,retained_prose,4,full,"{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":0.7916666666666666}","{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":-0.05}"
cosine_distance_v1,retained_prose,4,hash75,"{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":0.746031746031746}","{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":-0.060515873015873016}"
cosine_distance_v1,retained_prose,4,hash50,"{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}","{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}"
cosine_distance_v1,retained_prose,4,middle50,"{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}","{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}"
cosine_distance_v1,function_mask_v1,4,full,"{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":0.775}","{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":-0.058333333333333334}"
cosine_distance_v1,function_mask_v1,4,hash75,"{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":0.7271825396825397}","{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":-0.04017857142857143}"
cosine_distance_v1,function_mask_v1,4,hash50,"{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}","{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}"
cosine_distance_v1,function_mask_v1,4,middle50,"{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}","{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}"
function_word_js_v1,lexical_tokens,,full,"{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":0.7666666666666666}","{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":-0.08333333333333334}"
function_word_js_v1,lexical_tokens,,hash75,"{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":0.7400793650793651}","{""available_strata"":3,""missing_strata"":[],""planned_strata"":3,""reason"":null,""value"":-0.10515873015873016}"
function_word_js_v1,lexical_tokens,,hash50,"{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}","{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}"
function_word_js_v1,lexical_tokens,,middle50,"{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}","{""available_strata"":0,""missing_strata"":[""stratum-01"",""stratum-02"",""stratum-03""],""planned_strata"":3,""reason"":""planned_strata_missing"",""value"":null}"
