arm,block_id,cell_id,nonempty,ordinary_volume_guards_met,records,retained_words,stratum_id
full,stratum-01-block-01,A/X/early,True,True,12,2270,stratum-01
full,stratum-01-block-01,A/X/late,True,True,17,2479,stratum-01
full,stratum-01-block-01,A/Y/early,True,True,10,2023,stratum-01
full,stratum-01-block-01,A/Y/late,True,True,24,2650,stratum-01
full,stratum-01-block-01,B/X/early,True,True,12,2101,stratum-01
full,stratum-01-block-01,B/X/late,True,True,12,2054,stratum-01
full,stratum-01-block-01,B/Y/early,True,True,16,2089,stratum-01
full,stratum-01-block-01,B/Y/late,True,True,21,2242,stratum-01
hash50,stratum-01-block-01,A/X/early,True,False,5,1421,stratum-01
hash50,stratum-01-block-01,A/X/late,True,True,13,1344,stratum-01
hash50,stratum-01-block-01,A/Y/early,True,False,2,112,stratum-01
hash50,stratum-01-block-01,A/Y/late,True,True,11,1894,stratum-01
hash50,stratum-01-block-01,B/X/early,True,False,5,1086,stratum-01
hash50,stratum-01-block-01,B/X/late,True,False,6,1699,stratum-01
hash50,stratum-01-block-01,B/Y/early,True,True,10,1351,stratum-01
hash50,stratum-01-block-01,B/Y/late,True,False,9,945,stratum-01
hash75,stratum-01-block-01,A/X/early,True,True,8,1635,stratum-01
hash75,stratum-01-block-01,A/X/late,True,True,15,1816,stratum-01
hash75,stratum-01-block-01,A/Y/early,True,False,7,1139,stratum-01
hash75,stratum-01-block-01,A/Y/late,True,True,17,2218,stratum-01
hash75,stratum-01-block-01,B/X/early,True,True,8,1748,stratum-01
hash75,stratum-01-block-01,B/X/late,True,True,8,1750,stratum-01
hash75,stratum-01-block-01,B/Y/early,True,True,14,1701,stratum-01
hash75,stratum-01-block-01,B/Y/late,True,True,15,1647,stratum-01
middle50,stratum-01-block-01,A/X/early,True,False,6,1382,stratum-01
middle50,stratum-01-block-01,A/X/late,True,True,9,1524,stratum-01
middle50,stratum-01-block-01,A/Y/early,True,False,5,1240,stratum-01
middle50,stratum-01-block-01,A/Y/late,True,True,12,1865,stratum-01
middle50,stratum-01-block-01,B/X/early,True,False,6,1911,stratum-01
middle50,stratum-01-block-01,B/X/late,True,False,6,1719,stratum-01
middle50,stratum-01-block-01,B/Y/early,True,False,8,927,stratum-01
middle50,stratum-01-block-01,B/Y/late,True,True,11,1471,stratum-01
full,stratum-01-block-02,A/X/early,True,True,22,2074,stratum-01
full,stratum-01-block-02,A/X/late,True,True,24,2059,stratum-01
full,stratum-01-block-02,A/Y/early,True,True,26,2021,stratum-01
full,stratum-01-block-02,A/Y/late,True,True,26,2067,stratum-01
full,stratum-01-block-02,B/X/early,True,True,21,2030,stratum-01
full,stratum-01-block-02,B/X/late,True,True,26,2028,stratum-01
full,stratum-01-block-02,B/Y/early,True,True,22,2040,stratum-01
full,stratum-01-block-02,B/Y/late,True,True,25,2142,stratum-01
hash50,stratum-01-block-02,A/X/early,True,True,13,1017,stratum-01
hash50,stratum-01-block-02,A/X/late,True,True,15,1309,stratum-01
hash50,stratum-01-block-02,A/Y/early,True,False,11,981,stratum-01
hash50,stratum-01-block-02,A/Y/late,True,True,16,1257,stratum-01
hash50,stratum-01-block-02,B/X/early,True,False,7,643,stratum-01
hash50,stratum-01-block-02,B/X/late,True,False,11,829,stratum-01
hash50,stratum-01-block-02,B/Y/early,True,True,17,1679,stratum-01
hash50,stratum-01-block-02,B/Y/late,True,False,11,885,stratum-01
hash75,stratum-01-block-02,A/X/early,True,True,14,1066,stratum-01
hash75,stratum-01-block-02,A/X/late,True,True,17,1449,stratum-01
hash75,stratum-01-block-02,A/Y/early,True,True,17,1535,stratum-01
hash75,stratum-01-block-02,A/Y/late,True,True,22,1614,stratum-01
hash75,stratum-01-block-02,B/X/early,True,False,10,978,stratum-01
hash75,stratum-01-block-02,B/X/late,True,True,17,1254,stratum-01
hash75,stratum-01-block-02,B/Y/early,True,True,19,1777,stratum-01
hash75,stratum-01-block-02,B/Y/late,True,True,17,1331,stratum-01
middle50,stratum-01-block-02,A/X/early,True,True,11,1448,stratum-01
middle50,stratum-01-block-02,A/X/late,True,True,12,1056,stratum-01
middle50,stratum-01-block-02,A/Y/early,True,False,13,863,stratum-01
middle50,stratum-01-block-02,A/Y/late,True,False,13,842,stratum-01
middle50,stratum-01-block-02,B/X/early,True,True,11,1328,stratum-01
middle50,stratum-01-block-02,B/X/late,True,True,13,1015,stratum-01
middle50,stratum-01-block-02,B/Y/early,True,False,11,563,stratum-01
middle50,stratum-01-block-02,B/Y/late,True,True,13,1105,stratum-01
full,stratum-01-block-03,A/X/early,True,True,30,2000,stratum-01
full,stratum-01-block-03,A/X/late,True,True,33,2035,stratum-01
full,stratum-01-block-03,A/Y/early,True,True,31,2063,stratum-01
full,stratum-01-block-03,A/Y/late,True,True,36,2053,stratum-01
full,stratum-01-block-03,B/X/early,True,True,39,2016,stratum-01
full,stratum-01-block-03,B/X/late,True,True,36,2009,stratum-01
full,stratum-01-block-03,B/Y/early,True,True,24,2137,stratum-01
full,stratum-01-block-03,B/Y/late,True,True,40,2017,stratum-01
hash50,stratum-01-block-03,A/X/early,True,True,20,1297,stratum-01
hash50,stratum-01-block-03,A/X/late,True,True,16,1257,stratum-01
hash50,stratum-01-block-03,A/Y/early,True,True,13,1030,stratum-01
hash50,stratum-01-block-03,A/Y/late,True,False,15,976,stratum-01
hash50,stratum-01-block-03,B/X/early,True,True,21,1103,stratum-01
hash50,stratum-01-block-03,B/X/late,True,True,20,1115,stratum-01
hash50,stratum-01-block-03,B/Y/early,True,False,8,581,stratum-01
hash50,stratum-01-block-03,B/Y/late,True,False,17,960,stratum-01
hash75,stratum-01-block-03,A/X/early,True,True,25,1631,stratum-01
hash75,stratum-01-block-03,A/X/late,True,True,25,1770,stratum-01
hash75,stratum-01-block-03,A/Y/early,True,True,21,1541,stratum-01
hash75,stratum-01-block-03,A/Y/late,True,True,26,1499,stratum-01
hash75,stratum-01-block-03,B/X/early,True,True,28,1337,stratum-01
hash75,stratum-01-block-03,B/X/late,True,True,28,1473,stratum-01
hash75,stratum-01-block-03,B/Y/early,True,True,15,1680,stratum-01
