stratum_id,block_id,cell_id,experimental_full_target_met,first_utc,last_utc,longest_record_share,longest_record_words,median_timestamp,median_utc,nearest_rank_word_quantiles,nonempty,ordinary_volume_guards_met,record_shortfall,records,retained_words,word_overshoot,word_shortfall,word_target
AskAcademia / GradSchool,stratum-01-block-01,A/X/early,True,2015-06-16T23:58:26Z,2015-10-05T14:02:45Z,"{""denominator"": 227, ""numerator"": 70}",700,"{""denominator"": 2, ""numerator"": 2870177445}",2015-06-23T19:45:22.500000Z,"{""q25"": 61, ""q50"": 97, ""q75"": 133, ""q90"": 448}",True,True,0,12,2270,270,0,2000
AskAcademia / GradSchool,stratum-01-block-01,A/X/late,True,2017-03-23T16:47:17Z,2017-07-13T21:54:12Z,"{""denominator"": 2479, ""numerator"": 632}",632,"{""denominator"": 1, ""numerator"": 1495047400}",2017-05-17T18:56:40Z,"{""q25"": 45, ""q50"": 70, ""q75"": 180, ""q90"": 398}",True,True,0,17,2479,479,0,2000
AskAcademia / GradSchool,stratum-01-block-01,A/Y/early,True,2015-06-05T09:55:38Z,2015-06-26T04:49:11Z,"{""denominator"": 289, ""numerator"": 105}",735,"{""denominator"": 1, ""numerator"": 1435045224}",2015-06-23T07:40:24Z,"{""q25"": 69, ""q50"": 87, ""q75"": 209, ""q90"": 504}",True,True,0,10,2023,23,0,2000
AskAcademia / GradSchool,stratum-01-block-01,A/Y/late,True,2017-03-03T21:30:22Z,2017-06-12T21:19:06Z,"{""denominator"": 1325, ""numerator"": 392}",784,"{""denominator"": 2, ""numerator"": 2989147133}",2017-05-12T07:19:26.500000Z,"{""q25"": 34, ""q50"": 48, ""q75"": 121, ""q90"": 190}",True,True,0,24,2650,650,0,2000
AskAcademia / GradSchool,stratum-01-block-01,B/X/early,True,2014-10-15T18:24:59Z,2014-11-05T14:58:55Z,"{""denominator"": 2101, ""numerator"": 857}",857,"{""denominator"": 1, ""numerator"": 1414274655}",2014-10-25T22:04:15Z,"{""q25"": 32, ""q50"": 38, ""q75"": 125, ""q90"": 597}",True,True,0,12,2101,101,0,2000
AskAcademia / GradSchool,stratum-01-block-01,B/X/late,True,2017-04-17T21:42:29Z,2017-04-22T14:03:16Z,"{""denominator"": 1027, ""numerator"": 658}",1316,"{""denominator"": 2, ""numerator"": 2985388961}",2017-04-20T13:21:20.500000Z,"{""q25"": 31, ""q50"": 48, ""q75"": 125, ""q90"": 140}",True,True,0,12,2054,54,0,2000
AskAcademia / GradSchool,stratum-01-block-01,B/Y/early,True,2014-06-23T14:04:06Z,2014-11-17T15:41:50Z,"{""denominator"": 2089, ""numerator"": 578}",578,"{""denominator"": 2, ""numerator"": 2831251747}",2014-11-10T13:24:33.500000Z,"{""q25"": 37, ""q50"": 85, ""q75"": 122, ""q90"": 323}",True,True,0,16,2089,89,0,2000
AskAcademia / GradSchool,stratum-01-block-01,B/Y/late,True,2017-04-14T14:18:09Z,2017-04-23T13:21:46Z,"{""denominator"": 2242, ""numerator"": 289}",289,"{""denominator"": 1, ""numerator"": 1492438863}",2017-04-17T14:21:03Z,"{""q25"": 50, ""q50"": 107, ""q75"": 130, ""q90"": 225}",True,True,0,21,2242,242,0,2000
AskAcademia / GradSchool,stratum-01-block-02,A/X/early,True,2011-10-21T02:29:24Z,2012-02-17T14:09:22Z,"{""denominator"": 1037, ""numerator"": 193}",386,"{""denominator"": 2, ""numerator"": 2643309705}",2011-11-18T22:20:52.500000Z,"{""q25"": 40, ""q50"": 66, ""q75"": 133, ""q90"": 162}",True,True,0,22,2074,74,0,2000
AskAcademia / GradSchool,stratum-01-block-02,A/X/late,True,2017-03-06T22:07:40Z,2017-06-05T19:17:29Z,"{""denominator"": 2059, ""numerator"": 185}",185,"{""denominator"": 1, ""numerator"": 1491765324}",2017-04-09T19:15:24Z,"{""q25"": 54, ""q50"": 76, ""q75"": 105, ""q90"": 152}",True,True,0,24,2059,59,0,2000
