method_id,view,n,arm,stratum_id,primary_method,planned_blocks,complete_blocks,incomplete_blocks,mean,paired_complete_blocks,paired_cross_mean,paired_cross_minus_within_mean,paired_within_mean,stress_complete_blocks,stress_mean,comparisons_abstained,comparisons_abstention_reason_counts,comparisons_planned,comparisons_planned_class_counts,comparisons_qualified,comparisons_qualified_class_counts,comparisons_status_counts,units_nonempty,units_ordinary_volume_qualified,units_planned,units_records,units_retained_words,available_anchor_available_anchors,available_anchor_mean,available_anchor_planned_anchors,cross_contributing_blocks,cross_contributing_independent_units,cross_estimate,cross_executed_repetitions,cross_minimum_independent_units,cross_missing_replicates,cross_percentile_interval_95,cross_reason,cross_requested_repetitions,cross_shared_draws_sha256,cross_minus_within_contributing_blocks,cross_minus_within_contributing_independent_units,cross_minus_within_estimate,cross_minus_within_executed_repetitions,cross_minus_within_minimum_independent_units,cross_minus_within_missing_replicates,cross_minus_within_percentile_interval_95,cross_minus_within_reason,cross_minus_within_requested_repetitions,cross_minus_within_shared_draws_sha256,stress_contributing_blocks,stress_contributing_independent_units,stress_estimate,stress_executed_repetitions,stress_minimum_independent_units,stress_missing_replicates,stress_percentile_interval_95,stress_reason,stress_requested_repetitions,stress_shared_draws_sha256,within_paired_contributing_blocks,within_paired_contributing_independent_units,within_paired_estimate,within_paired_executed_repetitions,within_paired_minimum_independent_units,within_paired_missing_replicates,within_paired_percentile_interval_95,within_paired_reason,within_paired_requested_repetitions,within_paired_shared_draws_sha256,cross_community_abstained_pairs,cross_community_average_precision,cross_community_average_precision_reason,cross_community_planned_class_counts,cross_community_planned_pairs,cross_community_positive_label,cross_community_positive_label_meaning,cross_community_qualified_class_counts,cross_community_qualified_pairs,cross_community_roc_auc,cross_community_roc_auc_reason,within_community_abstained_pairs,within_community_average_precision,within_community_average_precision_reason,within_community_planned_class_counts,within_community_planned_pairs,within_community_positive_label,within_community_positive_label_meaning,within_community_qualified_class_counts,within_community_qualified_pairs,within_community_roc_auc,within_community_roc_auc_reason,unit_records_count,unit_records_mean,unit_records_min,unit_records_q25,unit_records_median,unit_records_q75,unit_records_max,unit_retained_words_count,unit_retained_words_mean,unit_retained_words_min,unit_retained_words_q25,unit_retained_words_median,unit_retained_words_q75,unit_retained_words_max
cosine_distance_v1,retained_prose,4,full,stratum-01,True,10,10,0,0.925,10,0.925,0.075,0.85,10,0.875,0,{},160,"{""different_author"": 80, ""same_author"": 80}",160,"{""different_author"": 80, ""same_author"": 80}","{""ok"": 160}",80,80,80,1896,167678,40,0.925,40,10,10,0.925,10000,5,1,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,10,10,0.075,10000,5,1,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,10,10,0.875,10000,5,1,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,10,10,0.85,10000,5,1,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0.7840425161995743,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 40, ""same_author"": 40}",80,0.8125,,0,0.7732337926030983,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 40, ""same_author"": 40}",80,0.81875,,80,23.7,8.0,17.75,24.0,30.0,40.0,80,2095.975,2000.0,2028.0,2061.0,2139.5,2650.0
cosine_distance_v1,retained_prose,4,full,stratum-02,True,10,10,0,0.725,10,0.725,-0.1,0.825,10,0.675,0,{},160,"{""different_author"": 80, ""same_author"": 80}",160,"{""different_author"": 80, ""same_author"": 80}","{""ok"": 160}",80,80,80,1897,167109,40,0.725,40,10,10,0.725,10000,5,0,"[0.5909090909090909, 0.8611111111111112]",,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,10,10,-0.1,10000,5,0,"[-0.22727272727272727, 0.027777777777777776]",,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,10,10,0.675,10000,5,0,"[0.55, 0.8055555555555556]",,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,10,10,0.825,10000,5,0,"[0.71875, 0.9285714285714286]",,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0.6768474049504923,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 40, ""same_author"": 40}",80,0.7125,,0,0.6959346035824704,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 40, ""same_author"": 40}",80,0.735625,,80,23.7125,8.0,17.0,22.0,29.25,50.0,80,2088.8625,2003.0,2030.25,2065.5,2126.25,2355.0
cosine_distance_v1,retained_prose,4,full,stratum-03,True,10,10,0,0.725,10,0.725,-0.125,0.85,10,0.7,0,{},160,"{""different_author"": 80, ""same_author"": 80}",160,"{""different_author"": 80, ""same_author"": 80}","{""ok"": 160}",80,80,80,1980,167759,40,0.725,40,10,10,0.725,10000,5,0,"[0.6136363636363636, 0.8409090909090909]",,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,10,10,-0.125,10000,5,0,"[-0.20454545454545456, -0.041666666666666664]",,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,10,10,0.7,10000,5,0,"[0.5833333333333334, 0.825]",,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,10,10,0.85,10000,5,0,"[0.75, 0.95]",,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0.688248086787691,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 40, ""same_author"": 40}",80,0.75125,,0,0.7329492165787401,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 40, ""same_author"": 40}",80,0.750625,,80,24.75,10.0,18.0,24.5,30.0,48.0,80,2096.9875,2000.0,2016.5,2042.0,2096.5,2844.0
cosine_distance_v1,retained_prose,4,hash75,stratum-01,True,10,7,3,0.8214285714285714,7,0.8214285714285714,-0.03571428571428571,0.8571428571428571,7,0.8571428571428571,18,"{""insufficient_comparable_text"": 18}",160,"{""different_author"": 80, ""same_author"": 80}",142,"{""different_author"": 71, ""same_author"": 71}","{""abstained"": 18, ""ok"": 142}",80,75,80,1425,125880,35,0.8571428571428571,40,7,7,0.8214285714285714,10000,5,6,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,7,7,-0.03571428571428571,10000,5,6,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,7,7,0.8571428571428571,10000,5,6,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,7,7,0.8571428571428571,10000,5,6,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,9,0.7596566003212191,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 35, ""same_author"": 36}",71,0.7793650793650794,,9,0.746573467252598,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 36, ""same_author"": 35}",71,0.7722222222222223,,80,17.8125,4.0,13.75,18.0,23.0,29.0,80,1573.5,978.0,1448.25,1594.5,1701.0,2218.0
cosine_distance_v1,retained_prose,4,hash75,stratum-02,True,10,6,4,0.6666666666666666,6,0.6666666666666666,-0.08333333333333333,0.75,6,0.6666666666666666,28,"{""insufficient_comparable_text"": 28}",160,"{""different_author"": 80, ""same_author"": 80}",132,"{""different_author"": 66, ""same_author"": 66}","{""abstained"": 28, ""ok"": 132}",80,70,80,1386,120853,31,0.7096774193548387,40,6,6,0.6666666666666666,10000,5,10,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,6,6,-0.08333333333333333,10000,5,10,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,6,6,0.6666666666666666,10000,5,10,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,6,6,0.75,10000,5,10,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,14,0.6844587658383365,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 33, ""same_author"": 33}",66,0.6942148760330579,,14,0.6822323389233127,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 33, ""same_author"": 33}",66,0.7327823691460055,,80,17.325,4.0,12.0,17.0,22.0,40.0,80,1510.6625,452.0,1412.25,1534.5,1684.75,1994.0
cosine_distance_v1,retained_prose,4,hash75,stratum-03,True,10,8,2,0.75,8,0.75,-0.0625,0.8125,8,0.6875,8,"{""insufficient_comparable_text"": 8}",160,"{""different_author"": 80, ""same_author"": 80}",152,"{""different_author"": 76, ""same_author"": 76}","{""abstained"": 8, ""ok"": 152}",80,78,80,1516,125789,36,0.75,40,8,8,0.75,10000,5,1,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,8,8,-0.0625,10000,5,1,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,8,8,0.6875,10000,5,1,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,8,8,0.8125,10000,5,1,,missing_bootstrap_statistics_no_silent_reweighting,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,4,0.6694395113421517,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 38, ""same_author"": 38}",76,0.7084487534626038,,4,0.7155326487649638,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 38, ""same_author"": 38}",76,0.7340720221606648,,80,18.95,9.0,13.75,19.0,23.0,37.0,80,1572.3625,709.0,1432.0,1574.5,1735.25,2366.0
cosine_distance_v1,retained_prose,4,hash50,stratum-01,True,10,0,10,,0,,,,0,,111,"{""insufficient_comparable_text"": 111}",160,"{""different_author"": 80, ""same_author"": 80}",49,"{""different_author"": 26, ""same_author"": 23}","{""abstained"": 111, ""ok"": 49}",80,44,80,953,87866,5,0.8,40,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,57,0.7588714526214526,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 12, ""same_author"": 11}",23,0.7045454545454546,,54,0.9530345471521942,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 14, ""same_author"": 12}",26,0.9345238095238095,,80,11.9125,2.0,9.0,12.0,15.0,22.0,80,1098.325,112.0,933.75,1115.5,1283.25,1894.0
cosine_distance_v1,retained_prose,4,hash50,stratum-02,True,10,0,10,,0,,,,0,,113,"{""insufficient_comparable_text"": 113}",160,"{""different_author"": 80, ""same_author"": 80}",47,"{""different_author"": 24, ""same_author"": 23}","{""abstained"": 113, ""ok"": 47}",80,41,80,944,81466,8,0.75,40,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,55,0.5960411445279866,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 12, ""same_author"": 13}",25,0.5705128205128205,,58,0.8590489983872337,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 12, ""same_author"": 10}",22,0.85,,80,11.8,3.0,8.0,11.0,15.0,27.0,80,1018.325,340.0,857.25,1050.0,1212.0,1598.0
cosine_distance_v1,retained_prose,4,hash50,stratum-03,True,10,0,10,,0,,,,0,,107,"{""insufficient_comparable_text"": 107}",160,"{""different_author"": 80, ""same_author"": 80}",53,"{""different_author"": 26, ""same_author"": 27}","{""abstained"": 107, ""ok"": 53}",80,43,80,997,81358,9,0.4444444444444444,40,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,53,0.603038479572093,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 14, ""same_author"": 13}",27,0.5989010989010989,,54,0.6849253286559788,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 12, ""same_author"": 14}",26,0.6428571428571429,,80,12.4625,4.0,9.0,12.0,16.0,23.0,80,1016.975,197.0,830.0,1058.0,1235.25,2070.0
cosine_distance_v1,retained_prose,4,middle50,stratum-01,True,10,0,10,,0,,,,0,,118,"{""insufficient_comparable_text"": 118}",160,"{""different_author"": 80, ""same_author"": 80}",42,"{""different_author"": 21, ""same_author"": 21}","{""abstained"": 118, ""ok"": 42}",80,40,80,949,89147,5,1.0,40,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,0,0,,0,5,0,,descriptive_statistic_unavailable,10000,659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac,60,0.7969418208054572,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 11, ""same_author"": 9}",20,0.7474747474747475,,58,0.6716125541125542,,"{""different_author"": 40, ""same_author"": 40}",80,different_author,different_source_account_proxy,"{""different_author"": 10, ""same_author"": 12}",22,0.6833333333333333,,80,11.8625,4.0,9.0,12.0,15.0,20.0,80,1114.3375,563.0,925.5,1080.0,1270.5,1911.0
