stratum_id,block_id,matching_cost,early_late_gaps
AskAcademia / GradSchool,stratum-01-block-01,"{""denominator"": 91609056000, ""numerator"": 228523185971}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 119917355}, ""nearest_writing_gap_seconds"": 46233872}, ""Y"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 119056685}, ""nearest_writing_gap_seconds"": 53282471}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 156839651}, ""nearest_writing_gap_seconds"": 77265814}, ""Y"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 153625979}, ""nearest_writing_gap_seconds"": 75940579}}}"
AskAcademia / GradSchool,stratum-01-block-02,"{""denominator"": 61072704000, ""numerator"": 108513785071}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 340220943}, ""nearest_writing_gap_seconds"": 159350298}, ""Y"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 399885803}, ""nearest_writing_gap_seconds"": 186715917}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 128923327}, ""nearest_writing_gap_seconds"": 104794280}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 126565747}, ""nearest_writing_gap_seconds"": 110044005}}}"
AskAcademia / GradSchool,stratum-01-block-03,"{""denominator"": 26174016000, ""numerator"": 102155803369}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 219456265}, ""nearest_writing_gap_seconds"": 82321127}, ""Y"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 207826601}, ""nearest_writing_gap_seconds"": 75357214}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 23309987}, ""nearest_writing_gap_seconds"": 10012189}, ""Y"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 63699553}, ""nearest_writing_gap_seconds"": 26696780}}}"
AskAcademia / GradSchool,stratum-01-block-04,"{""denominator"": 183218112000, ""numerator"": 413847855419}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 84874520}, ""nearest_writing_gap_seconds"": 71112476}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 78980517}, ""nearest_writing_gap_seconds"": 62092058}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 61177266}, ""nearest_writing_gap_seconds"": 33335737}, ""Y"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 121216355}, ""nearest_writing_gap_seconds"": 54460139}}}"
AskAcademia / GradSchool,stratum-01-block-05,"{""denominator"": 183218112000, ""numerator"": 468275067163}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 172738151}, ""nearest_writing_gap_seconds"": 35144313}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 85453253}, ""nearest_writing_gap_seconds"": 55551012}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 98754515}, ""nearest_writing_gap_seconds"": 11574945}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 90021088}, ""nearest_writing_gap_seconds"": 30567236}}}"
AskAcademia / GradSchool,stratum-01-block-06,"{""denominator"": 20357568000, ""numerator"": 55682515817}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 44091081}, ""nearest_writing_gap_seconds"": 26561623}, ""Y"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 143021445}, ""nearest_writing_gap_seconds"": 47839827}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 100353619}, ""nearest_writing_gap_seconds"": 65316280}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 62130638}, ""nearest_writing_gap_seconds"": 57766584}}}"
AskAcademia / GradSchool,stratum-01-block-07,"{""denominator"": 366436224, ""numerator"": 1065592237}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 92713113}, ""nearest_writing_gap_seconds"": 66120870}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 69441503}, ""nearest_writing_gap_seconds"": 44416957}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 177060159}, ""nearest_writing_gap_seconds"": 52901333}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 88397401}, ""nearest_writing_gap_seconds"": 46855976}}}"
AskAcademia / GradSchool,stratum-01-block-08,"{""denominator"": 183218112000, ""numerator"": 363194842963}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 90785678}, ""nearest_writing_gap_seconds"": 59517011}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 96897225}, ""nearest_writing_gap_seconds"": 61598462}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 47181547}, ""nearest_writing_gap_seconds"": 28241380}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 38968543}, ""nearest_writing_gap_seconds"": 21750057}}}"
AskAcademia / GradSchool,stratum-01-block-09,"{""denominator"": 91609056000, ""numerator"": 266709965681}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 103526267}, ""nearest_writing_gap_seconds"": 101865484}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 104751870}, ""nearest_writing_gap_seconds"": 100988514}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 342340875}, ""nearest_writing_gap_seconds"": 105403323}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 173845814}, ""nearest_writing_gap_seconds"": 108168476}}}"
AskAcademia / GradSchool,stratum-01-block-10,"{""denominator"": 183218112000, ""numerator"": 736789335251}","{""A"": {""X"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 144476103}, ""nearest_writing_gap_seconds"": 45618658}, ""Y"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 111916949}, ""nearest_writing_gap_seconds"": 27467828}}, ""B"": {""X"": {""median_gap_seconds"": {""denominator"": 2, ""numerator"": 203204315}, ""nearest_writing_gap_seconds"": 100307761}, ""Y"": {""median_gap_seconds"": {""denominator"": 1, ""numerator"": 86124740}, ""nearest_writing_gap_seconds"": 84412890}}}"
