community_pair,four_cell_accounts,pairwise_blocks_upper_bound,period_scheme
ApplyingToCollege / Cornell,0,0,cut2016
ApplyingToCollege / Cornell,0,0,cut2017
ApplyingToCollege / Cornell,0,0,cut2018
ApplyingToCollege / Cornell,0,0,matched2017_2018
ApplyingToCollege / college,9,4,cut2016
ApplyingToCollege / college,6,3,cut2017
ApplyingToCollege / college,7,3,cut2018
ApplyingToCollege / college,2,1,matched2017_2018
Cornell / college,0,0,cut2016
Cornell / college,0,0,cut2017
Cornell / college,0,0,cut2018
Cornell / college,0,0,matched2017_2018
