community,archive_bytes,archive_sha256,source_rows,comments,first_nonexcluded_utc,last_nonexcluded_utc,missing_thread_rows,explicit_language_missing
ApplyingToCollege,155300755,046d9d2566b03dfbaa17d7d62f4311083a39897d2e35d170043e3be2e6a242e5,1148299,1027292,2013-10-04T21:06:23Z,2018-10-31T23:59:50Z,0,1148299
Cornell,11186877,f153a56a343e6d9568d90b635d44d1ccca71479ac19cd28e075587485bad715d,74467,63723,2009-06-24T01:24:24Z,2018-10-31T23:59:16Z,0,74467
college,133664381,31a124155a303bdb3e0e91a1a97c48964ccfffa14585b5088b94935660722aa9,774380,663790,2008-04-09T06:44:25Z,2018-10-31T23:58:48Z,0,774380
AskAcademia,56041807,70516bf375fe9a6ca738f03d1a4d92523ff45fad6f8660c0d67ce5da01aa234a,252988,229222,2011-01-25T22:31:54Z,2018-10-31T23:43:31Z,0,252988
GradSchool,75834080,420a9ff24f17a05e64e0648d9ef883518eef5b3db875e1590bf63625e37f7125,370990,332994,2009-08-13T04:19:46Z,2018-10-31T23:57:57Z,0,370990
PhD,3946669,be79efb580ce1a87cabda388bdf8f50c18f6de292de78659fcbd6591d2916e42,19443,16516,2008-06-18T07:57:13Z,2018-10-31T22:58:47Z,0,19443
Physics,100767614,e3409d3b2d537f83330e1337423c90eeeddbcca69468c7fc66e054a84a393e64,619676,555071,2008-03-16T06:12:52Z,2018-10-31T23:54:35Z,0,619676
AskPhysics,47619954,7c4af5f5fa07adc39ff7df3fc49d23fcff906b3d64a8afde3eafa31720d410b2,240055,199996,2011-10-19T00:03:56Z,2018-10-31T23:59:36Z,0,240055
math,245506348,6a39335f531afc330dcf894589cadf725b026e5e5d3a05d4211743b985b5e89d,1534925,1408502,2008-01-24T22:12:53Z,2018-10-31T23:58:34Z,0,1534925
learnmath,88813992,a50a47cb250a75631252b68671936e18a4053175c4750ec4b0bfccbbd6c8857b,487515,403334,2009-11-29T18:45:54Z,2018-10-31T23:58:05Z,0,487515
